Año,Entidad,Ley,Concepto,Tipo,Total
2012,Chiapas,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,125.0
2012,Chiapas,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,91.0
2012,Chiapas,Codigo penal federal,Otros delitos,Contra la integridad corporal,2.0
2012,Chiapas,Codigo penal federal,Otros delitos,Electorales,126.0
2012,Chiapas,Codigo penal federal,Otros delitos,En materia de derechos de autor,20.0
2012,Chiapas,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",128.0
2012,Chiapas,Codigo penal federal,Otros delitos,Patrimoniales,264.0
2012,Chiapas,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,18.0
2012,Chiapas,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,208.0
2012,Chihuahua,Codigo penal federal,Contra la salud,Produccion,18.0
2012,Chihuahua,Codigo penal federal,Contra la salud,Transporte,29.0
2012,Chihuahua,Codigo penal federal,Contra la salud,Trafico,3.0
2012,Chihuahua,Codigo penal federal,Contra la salud,Comercio,41.0
2012,Chihuahua,Codigo penal federal,Contra la salud,Suministro,2.0
2012,Chihuahua,Codigo penal federal,Contra la salud,Posesion,552.0
2012,Chihuahua,Codigo penal federal,Contra la salud,Otros,86.0
2012,Chihuahua,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,123.0
2012,Chihuahua,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,24.0
2012,Chihuahua,Codigo penal federal,Otros delitos,Contra la integridad corporal,13.0
2012,Chihuahua,Codigo penal federal,Otros delitos,Electorales,164.0
2012,Chihuahua,Codigo penal federal,Otros delitos,En materia de derechos de autor,10.0
2012,Chihuahua,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",127.0
2012,Chihuahua,Codigo penal federal,Otros delitos,Patrimoniales,433.0
2012,Chihuahua,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,22.0
2012,Chihuahua,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,331.0
2012,Ciudad de México,Codigo penal federal,Contra la salud,Produccion,11.0
2012,Ciudad de México,Codigo penal federal,Contra la salud,Transporte,8.0
2012,Ciudad de México,Codigo penal federal,Contra la salud,Trafico,0.0
2012,Ciudad de México,Codigo penal federal,Contra la salud,Comercio,76.0
2012,Ciudad de México,Codigo penal federal,Contra la salud,Suministro,8.0
2012,Ciudad de México,Codigo penal federal,Contra la salud,Posesion,2245.0
2012,Ciudad de México,Codigo penal federal,Contra la salud,Otros,1958.0
2012,Ciudad de México,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,1376.0
2012,Ciudad de México,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,50.0
2012,Ciudad de México,Codigo penal federal,Otros delitos,Contra la integridad corporal,102.0
2012,Ciudad de México,Codigo penal federal,Otros delitos,Electorales,435.0
2012,Ciudad de México,Codigo penal federal,Otros delitos,En materia de derechos de autor,276.0
2012,Ciudad de México,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",2696.0
2012,Ciudad de México,Codigo penal federal,Otros delitos,Patrimoniales,4647.0
2012,Ciudad de México,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,69.0
2012,Ciudad de México,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,1277.0
2012,Durango,Codigo penal federal,Contra la salud,Produccion,26.0
2012,Durango,Codigo penal federal,Contra la salud,Transporte,2.0
2012,Durango,Codigo penal federal,Contra la salud,Trafico,3.0
2012,Durango,Codigo penal federal,Contra la salud,Comercio,130.0
2012,Durango,Codigo penal federal,Contra la salud,Suministro,0.0
2012,Durango,Codigo penal federal,Contra la salud,Posesion,105.0
2012,Durango,Codigo penal federal,Contra la salud,Otros,52.0
2012,Durango,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,52.0
2012,Durango,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,19.0
2012,Durango,Codigo penal federal,Otros delitos,Contra la integridad corporal,24.0
2012,Durango,Codigo penal federal,Otros delitos,Electorales,118.0
2012,Durango,Codigo penal federal,Otros delitos,En materia de derechos de autor,6.0
2012,Durango,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",25.0
2012,Durango,Codigo penal federal,Otros delitos,Patrimoniales,167.0
2012,Durango,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,21.0
2012,Durango,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,115.0
2012,Guanajuato,Codigo penal federal,Contra la salud,Produccion,14.0
2012,Guanajuato,Codigo penal federal,Contra la salud,Transporte,6.0
2012,Guanajuato,Codigo penal federal,Contra la salud,Trafico,0.0
2012,Guanajuato,Codigo penal federal,Contra la salud,Comercio,87.0
2012,Guanajuato,Codigo penal federal,Contra la salud,Suministro,11.0
2012,Guanajuato,Codigo penal federal,Contra la salud,Posesion,1949.0
2012,Guanajuato,Codigo penal federal,Contra la salud,Otros,77.0
2012,Guanajuato,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,46.0
2012,Guanajuato,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,21.0
2012,Guanajuato,Codigo penal federal,Otros delitos,Contra la integridad corporal,7.0
2012,Guanajuato,Codigo penal federal,Otros delitos,Electorales,116.0
2012,Guanajuato,Codigo penal federal,Otros delitos,En materia de derechos de autor,7.0
2012,Guanajuato,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",140.0
2012,Guanajuato,Codigo penal federal,Otros delitos,Patrimoniales,581.0
2012,Guanajuato,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,64.0
2012,Guanajuato,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,212.0
2012,Guerrero,Codigo penal federal,Contra la salud,Produccion,3.0
2012,Guerrero,Codigo penal federal,Contra la salud,Transporte,5.0
2012,Guerrero,Codigo penal federal,Contra la salud,Trafico,0.0
2012,Guerrero,Codigo penal federal,Contra la salud,Comercio,170.0
2012,Guerrero,Codigo penal federal,Contra la salud,Suministro,0.0
2012,Guerrero,Codigo penal federal,Contra la salud,Posesion,385.0
2012,Guerrero,Codigo penal federal,Contra la salud,Otros,28.0
2012,Guerrero,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,105.0
2012,Guerrero,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,60.0
2012,Guerrero,Codigo penal federal,Otros delitos,Contra la integridad corporal,19.0
2012,Guerrero,Codigo penal federal,Otros delitos,Electorales,199.0
2012,Guerrero,Codigo penal federal,Otros delitos,En materia de derechos de autor,14.0
2012,Guerrero,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",39.0
2012,Guerrero,Codigo penal federal,Otros delitos,Patrimoniales,158.0
2012,Guerrero,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,37.0
2012,Guerrero,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,194.0
2012,Hidalgo,Codigo penal federal,Contra la salud,Produccion,5.0
