Año,ile,Entidad
2012,5.99,Michoacán de Ocampo
2012,6.29,Morelos
2012,6.13,Nayarit
2012,6.11,Nuevo León
2012,6.09,Oaxaca
2012,6.19,Puebla
2012,6.35,Querétaro
2012,6.22,Quintana Roo
2012,6.09,San Luis Potosí
2012,6.12,Sinaloa
2012,6.21,Sonora
2012,6.04,Tabasco
2012,5.97,Tamaulipas
2012,6.27,Tlaxcala
2012,6.06,Veracruz de Ignacio de la Llave
2012,5.98,Yucatán
2012,5.95,Zacatecas
2013,6.02,Aguascalientes
2013,6.39,Baja California
2013,5.96,Baja California Sur
2013,5.6,Campeche
2013,6.03,Coahuila de Zaragoza
2013,5.58,Colima
2013,6.05,Chiapas
2013,5.89,Chihuahua
2013,5.3,Ciudad de México
2013,5.88,Durango
2013,6.17,Guanajuato
2013,6.09,Guerrero
2013,6.01,Hidalgo
2013,6.33,Jalisco
2013,6.38,México
2013,5.79,Michoacán de Ocampo
2013,6.06,Morelos
2013,6.18,Nayarit
2013,5.71,Nuevo León
2013,6.06,Oaxaca
2013,6.12,Puebla
2013,6.08,Querétaro
2013,6.05,Quintana Roo
2013,6.06,San Luis Potosí
2013,6.14,Sinaloa
2013,6.12,Sonora
2013,5.95,Tabasco
2013,5.95,Tamaulipas
2013,6.21,Tlaxcala
2013,5.95,Veracruz de Ignacio de la Llave
2013,5.94,Yucatán
2013,5.93,Zacatecas
2014,6.12,Aguascalientes
2014,6.42,Baja California
2014,6.04,Baja California Sur
2014,5.8,Campeche
2014,6.38,Coahuila de Zaragoza
2014,5.68,Colima
2014,6.17,Chiapas
2014,6.06,Chihuahua
2014,5.52,Ciudad de México
2014,6.02,Durango
2014,6.17,Guanajuato
2014,6.2,Guerrero
2014,6.23,Hidalgo
2014,6.48,Jalisco
2014,6.28,México
2014,5.91,Michoacán de Ocampo
2014,6.22,Morelos
2014,6.28,Nayarit
2014,6.11,Nuevo León
2014,6.17,Oaxaca
2014,6.25,Puebla
2014,6.04,Querétaro
2014,6.2,Quintana Roo
2014,6.19,San Luis Potosí
2014,6.35,Sinaloa
2014,6.25,Sonora
2014,6.11,Tabasco
2014,6.08,Tamaulipas
2014,6.35,Tlaxcala
2014,6.11,Veracruz de Ignacio de la Llave
2014,6.13,Yucatán
2014,6.15,Zacatecas
2015,6.05,Aguascalientes
2015,6.52,Baja California
2015,6.11,Baja California Sur
2015,5.79,Campeche
2015,6.2,Coahuila de Zaragoza
2015,5.7,Colima
2015,6.19,Chiapas
2015,6.14,Chihuahua
2015,5.36,Ciudad de México
2015,6.05,Durango
2015,6.48,Guanajuato
2015,6.07,Guerrero
2015,6.16,Hidalgo
2015,6.47,Jalisco
2015,6.31,México
2015,5.9,Michoacán de Ocampo
2015,6.2,Morelos
2015,6.31,Nayarit
2015,6.46,Nuevo León
2015,6.16,Oaxaca
2015,6.22,Puebla
2015,6.06,Querétaro
2015,6.31,Quintana Roo
2015,6.16,San Luis Potosí
2015,6.27,Sinaloa
2015,6.38,Sonora
2015,6.12,Tabasco
2015,6.13,Tamaulipas
2015,6.35,Tlaxcala
2015,6.11,Veracruz de Ignacio de la Llave
2015,6.2,Yucatán
2015,6.12,Zacatecas
2016,6.07,Aguascalientes
2016,6.48,Baja California
2016,6.13,Baja California Sur
2016,5.88,Campeche
2016,6.03,Coahuila de Zaragoza
2016,5.72,Colima
2016,6.22,Chiapas
2016,6.24,Chihuahua
2016,5.54,Ciudad de México
2016,6.1,Durango
2016,6.61,Guanajuato
2016,6.22,Guerrero
2016,6.21,Hidalgo
2016,6.43,Jalisco
2016,6.31,México
2016,5.92,Michoacán de Ocampo
2016,6.27,Morelos
2016,6.34,Nayarit
2016,6.63,Nuevo León
2016,6.2,Oaxaca
2016,6.18,Puebla
2016,6.02,Querétaro
2016,6.4,Quintana Roo
2016,6.12,San Luis Potosí
2016,6.27,Sinaloa
2016,6.38,Sonora
2016,6.14,Tabasco
2016,6.08,Tamaulipas
2016,6.37,Tlaxcala
2016,6.07,Veracruz de Ignacio de la Llave
2016,6.18,Yucatán
2016,6.1,Zacatecas
2017,6.19,Aguascalientes
2017,6.48,Baja California
2017,6.32,Baja California Sur
2017,6.05,Campeche
2017,6.11,Coahuila de Zaragoza
2017,5.78,Colima
2017,6.25,Chiapas
2017,6.36,Chihuahua
2017,5.56,Ciudad de México
2017,6.09,Durango
2017,6.49,Guanajuato
